Tweet,Class
"@e100ss ini lho mas, nama jalannya Jln. Totok Kerot di maps. Sepanjang jalan daerah Majapahit berasap tebal dan bau… https://t.co/iGavpl52bF",0
@TelkomCare @e100ss Sejak agustus akhir mati total internet sampe detik ini.,0
"@TelkomCare @e100ss perbaikan macam apa sampe 1 bulan lebih gak selesai-selesai? Tidak konfirmasi dari petugas, tidak ada yg datang sejak",0
"@e100ss mohon info, ini kenapa ya sepanjang Jl. Totok Kerot, Majapahit Mojokerto kok berasap sangat tebal dan sangat bau?",0
Delay dibandara juanda..shrsnya brgkt jm18.35 smpe skrng blm ada tanda2 mw diberangkatkan..@e100ss @kemenhub151 https://t.co/iELU1iDepK,0
@e100ss  @pln_123  Alhamdulillah listrik sudah menyala kembali..... Terima kasih,1
RT @mpmhondajatim: Kegiatan yang akan dilangsungkan mulai Oktober hingga Desember 2017 ini merupakan kegiatan hasil kerjasama dengan Pemkot…,1
@bagusaban @e100ss Travo meledak pak.. dekat blok B10... Sedang ditangani pihak PLN...,0
@e100ss  @pln_123  Kawasan kembang kuning mati lampu.... Tolong info nya,0
@e100ss @e100ss apa guna sosialisasi etoll? Buat apa di paksa pakai etoll jika kartu brizzi saya tidak bisa di pakai di gempol Dan pandaan.,0
@e100ss bayar tol keluar gempol tidak terima etoll.Katanya hanya terima cash. Dan dibilang kartunya brizzi saya tidak bisa di pakai digempol,0
RT @mpmhondajatim: Kegiatan yang akan dilangsungkan mulai Oktober hingga Desember 2017 ini merupakan kegiatan hasil kerjasama dengan Pemkot…,1
"@e100ss kereta api penataran dhoho jurusan T.agung - sby. Jam 17.36.
Gerbong 1 AC ada yg mati.
Sumuk duech....",0
RT @mpmhondajatim: Kegiatan yang akan dilangsungkan mulai Oktober hingga Desember 2017 ini merupakan kegiatan hasil kerjasama dengan Pemkot…,0
"Selamat Hari Kesaktian Pancasila.Syg listrik di Babatan Indah off,g sakti blas @e100ss  @pln_123",0
@pln_123 @e100ss perum griya babatan mukti surabaya kenapa yach listriknya mati??? Mohon info,0
@SusiloLJS @e100ss Ini pdam sudah datang.. fiuh untunglah. Tapi masalah utama blom selesai. Hiks dah,1
"Late post @e100ss enaknya ada jalur baru khusus motor di tambaksari, masih baru selesai lho pemasangan keramiknya <ed><U+00A0><U+00BE><ed><U+00B4><U+00A3> https://t.co/o3WvyyMZke",1
"RT @mahrezaldy: Butuh pembangunan infrastuktur jalan Dan lampu  di area Stadion GBT,supporter Persebaya juga warga @e100ss",1
@Hendranata @e100ss Sama mas tenggilis kauman ya gt kok pada gak ngalir pdamnya,0
"RT @nungQ_kiukiu: @e100ss Hari ke-1 penerapan e-tol, tjd antrian panjang. Ptugas blg,kartu hbs. Brizzi sy tnyt blum bs dipake. Akhirnya bal…",0
@nungQ_kiukiu @e100ss Seharusnya bisa d semua tol.punya saya brizzi sampai rembang pasuruan bisa d pakai,0
"RT @nungQ_kiukiu: @e100ss Sy beli e-tol Brizzi 3 mggu y.l di tol Gresik, tnyt belum bs aktif di tol Gempa. Knp dr BRI pas dulu beli ga ada…",0
"RT @nungQ_kiukiu: @e100ss Hari ke-1 penerapan e-tol, tjd antrian panjang. Ptugas blg,kartu hbs. Brizzi sy tnyt blum bs dipake. Akhirnya bal…",0
"RT @nungQ_kiukiu: @e100ss Hari ke-1 penerapan e-tol, tjd antrian panjang. Ptugas blg,kartu hbs. Brizzi sy tnyt blum bs dipake. Akhirnya bal…",0
"RT @nungQ_kiukiu: @e100ss Sy beli e-tol Brizzi 3 mggu y.l di tol Gresik, tnyt belum bs aktif di tol Gempa. Knp dr BRI pas dulu beli ga ada…",0
RT @nana_list: @e100ss : lampu lalin mati : sepanjang masuk bypass krian,0
"RT @WahyuSandikan2: @e100ss listrik padam di daerah kedamean , dari tadi belum nyala",0
"@e100ss listrik padam di daerah kedamean , dari tadi belum nyala",0
"@agusirwanto @e100ss wajar Mas
masih tol baru",1
RT @deteksi: Tol pandaan nempel emoney tetap gak mbuka. Kartu tol diambil portal baru mbuka. Tetap bayar cash. Kata petugas nempelnya kuran…,0
@e100ss : lampu lalin mati : sepanjang masuk bypass krian,0
@nana_list @e100ss Yang bisa mandiri e toll.. yg flazz hanya di gate tertentu saja.  Dan ga tau dmna saja.  Kalau mau aman pake yg e toll,1
"@e100ss Sy beli e-tol Brizzi 3 mggu y.l di tol Gresik, tnyt belum bs aktif di tol Gempa. Knp dr BRI pas dulu beli ga ada penjelasan ya ?",0
"RT @nana_list: @e100ss : bca flazz hari ini blm bisa dipake di GTO , tadi coba di tol dupak . Mundur cari gate tunai",0
"@e100ss Hari ke-1 penerapan e-tol, tjd antrian panjang. Ptugas blg,kartu hbs. Brizzi sy tnyt blum bs dipake. Akhirn… https://t.co/wIVIcIKmRv",0
"RT @nana_list: @e100ss : bca flazz hari ini blm bisa dipake di GTO , tadi coba di tol dupak . Mundur cari gate tunai",0
Jln2 ke taman suroboyo panas kali g ada tempa duduk iupan :( @e100ss klo wisata perahunya di organisir kykny bgs jg di ksh safety rompi,1
@agusirwanto @e100ss Semua itu pilihan.. lewat tol waktu lebih cepat dan bbm lebih irit.. lewat non tol waktu lebih lama dan boros bbm,1
RT @deteksi: Tol pandaan nempel emoney tetap gak mbuka. Kartu tol diambil portal baru mbuka. Tetap bayar cash. Kata petugas nempelnya kuran…,0
"@agusirwanto @e100ss percuma donk bikin tol, gk menyelwsaikan solusi kalo tarif mahal, akhirnya pengendara byk yg l… https://t.co/ljiXGyAe2l",0
Tol pandaan nempel emoney tetap gak mbuka. Kartu tol diambil portal baru mbuka. Tetap bayar cash. Kata petugas nempelnya kurang lama @e100ss,0
RT @Hendranata: @e100ss tolong pdam daerah prapen masi blom beres. Order air juga antri bnyk. Mohon dipercepat perbaikanya. Agak miris bgt…,0
RT @Rusman0207: @e100ss kalo masalah etol hrus selalu konfirmasi dulu kan membuang buang waktu yg harysnya g perlu.mohon dievaluasi lg lah,0
@e100ss kalo masalah etol hrus selalu konfirmasi dulu kan membuang buang waktu yg harysnya g perlu.mohon dievaluasi lg lah,0
@e100ss tolong pdam daerah prapen masi blom beres. Order air juga antri bnyk. Mohon dipercepat perbaikanya. Agak miris bgt ini ga ada air,0
"Ke madiun via tol legundi - kertosono, lha kok tarifnya sdh naik hampir 100% @e100ss pantas sepi tol e",0
@Ikhwanto_ @PuspitaFM @e100ss tampaknya isu delay ini harus jd perhatian serius. hampir setiap saat penerbangan lbh… https://t.co/Cw1YyCTTKn,0
